,Charity_Legal_Name,Address_Line_1,Town_City,State,Postcode,Country,Charity_Website,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness
175,The Amoha Foundation,U 5 2-6 Albert St,Blackburn,Victoria,3130,Australia,,,,Y,,,,,,
176,Lighthouse Foundation,13 Adolph St,Cremorne,Victoria,3121,Australia,www.lighthousefoundation.org.au,,,,Y,,Y,,,Y
177,The Trustee For Community Enterprise Charitable Fund,The Bendigo Centre,Bendigo,VIC,3550,Australia,www.communityenterprisefoundation.com.au,,,,,Y,,,,
178,Transfamily INCORPORATED,100 Drummond St,Carlton,Victoria,3053,Australia,https://transfamily.org.au/,,,Y,,,,,,
179,The Trustee For Melb Rotary Club Fund,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
180,Rex Theatre Museum Ltd,30 High St,Charlton,Victoria,3525,Australia,http://www.rextheatre.org.au,,,,Y,Y,Y,Y,Y,
181,Nhill Lutheran School,2 Mackay St,Nhill,Victoria,3418,Australia,http://nls.vic.edu.au,Y,,,Y,,,,,
182,Crossculture Church Of Christ Inc,329-333 Swanston St,Melbourne,Victoria,3000,Australia,http://crossculture.net.au/,,,,Y,Y,Y,Y,Y,Y
183,Dingee Bush Nursing Centre Incorporated,21 King Street,Dingee,VIC,3571,Australia,dingeebushnursingcentre.com.au,,,,,,Y,,Y,
184,Hamerkaz Shelanu Incorporated,569 Glen Huntly Rd,Elsternwick,Victoria,3185,Australia,www.hamerkazshelanu.com.au,,,,Y,Y,,,,
185,Professor Caroline Taylor Foundation,,,,,,,Y,,,Y,Y,Y,Y,Y,Y
186,Insight Education Centre For The Blind And Vision Impaired,Se 2 86 High St,Berwick,Victoria,3806,Australia,,Y,,,Y,,,,,
187,Melbourne Indigenous Transition School,16 The Vaucluse,Richmond,VIC,3121,Australia,www.mits.vic.edu.au,,,,Y,,,,,
188,Eastern Area Multiple Birth Association Inc.,Po Box 348,Nunawading,Victoria,3131,Australia,eamba.amba.org.au,,,,Y,Y,,,,
189,Chapter Seven Limited,8 Ronald St,Mitcham,Victoria,3132,Australia,www.theretreat.org.au,,Y,Y,,Y,,,,
190,Merri Common Equity Rentalhousing Co-Operative Ltd,PO BOX 492,NORTHCOTE,VIC,3070,AUSTRALIA,,,,,,,,,,
191,The Biography Program,PO Box 708,Camberwell,Victoria,3124,Australia,www.beyondwords.org.au,,,,,,,,,
