,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
1504,Mornington Peninsula,Mount Martha,All properties,600.0,595.78,-4.220000000000027,-0.7
1505,Mornington Peninsula,Seaford,All properties,430.0,408.5,-21.5,-5.0
1506,Mornington Peninsula,Carrum Downs,All properties,430.0,408.5,-21.5,-5.0
1507,Geelong,Belmont,All properties,440.0,435.39,-4.610000000000014,-1.05
1508,Geelong,Grovedale,All properties,440.0,435.39,-4.610000000000014,-1.05
1509,Geelong,Corio,All properties,340.0,334.95,-5.050000000000011,-1.49
1510,Geelong,Geelong,All properties,410.0,400.02,-9.980000000000018,-2.43
1511,Geelong,Newcomb,All properties,410.0,400.02,-9.980000000000018,-2.43
1512,Geelong,Herne Hill,All properties,410.0,392.0,-18.0,-4.39
1513,Geelong,Geelong West,All properties,410.0,392.0,-18.0,-4.39
1514,Geelong,Lara,All properties,460.0,432.58,-27.420000000000016,-5.96
1515,Geelong,Newtown,All properties,430.0,426.8,-3.1999999999999886,-0.74
1516,Geelong,North Geelong,All properties,410.0,403.45,-6.550000000000011,-1.6
1517,Ballarat,Ballarat Central,All properties,360.0,333.85,-26.149999999999977,-7.26
1518,Ballarat,Mount Clear,All properties,370.0,363.43,-6.569999999999993,-1.78
1519,Ballarat,Buninyong,All properties,370.0,363.43,-6.569999999999993,-1.78
1520,Ballarat,Sebastopol,All properties,377.0,367.37,-9.629999999999995,-2.55
1521,Ballarat,Delacombe,All properties,377.0,367.37,-9.629999999999995,-2.55
1522,Ballarat,Wendouree,All properties,390.0,383.65,-6.350000000000023,-1.63
1523,Ballarat,Alfredton,All properties,390.0,383.65,-6.350000000000023,-1.63
1524,Bendigo,Bendigo,All properties,380.0,361.8,-18.19999999999999,-4.79
1525,Bendigo,Flora Hill,All properties,380.0,377.1,-2.8999999999999773,-0.76
1526,Bendigo,East Bendigo,All properties,380.0,377.1,-2.8999999999999773,-0.76
1527,Bendigo,Golden Square,All properties,390.0,385.25,-4.75,-1.22
1528,Bendigo,Kangaroo Flat,All properties,390.0,385.25,-4.75,-1.22
